id	pid	snippet	core
ireland--synthesizedtextforjapan-ireland-jp-a15	15	第十五条 １ 一方の締約国の居住者が自由職業その他これに類する独立の活動に関 して取得する所得に対しては、その者が自己の活動を遂行するために通 常使用することができる固定的施設を他方の締約国内に有しない限り、 当該一方の締約国においてのみ租	text/ireland--synthesizedtextforjapan-ireland-jp-pack-01.txt
ireland--synthesizedtextforjapan-ireland-jp-a16	16	第十六条 １ 次条及び第十九条から第二十二条までの規定が適用される場合を除く ほか、 一方の締約国の居住者が勤務について取得する給料、 賃金その他こ れらに類する報酬に対しては、その勤務が他方の締約国内で行われない 限り、 当該一方の締約国	text/ireland--synthesizedtextforjapan-ireland-jp-pack-02.txt
ireland--synthesizedtextforjapan-ireland-jp-a9	9	第九条 主として不動産から価値が構成される団体の株式又は持 分の譲渡から生ずる収益 ４ 条約の適用上、一方の締約国の居住者が株式又は同等の持分（組合又 は信託財産の持分を含む。 ）の譲渡によって取得する収益に対しては、当 該株式又は同等の持	text/ireland--synthesizedtextforjapan-ireland-jp-pack-01.txt
ireland--synthesizedtextforjapan-ireland-jp-a15	15	第十五条及び第十六条の規定にかかわらず、演劇、映画、ラジオ又はテレ ビジョンの俳優、音楽家その他の芸能人及び運動家がこれらの者としての 個人的活動によつて取得する所得に対しては、その活動が行われた締約国 において租税を課することができる。	text/ireland--synthesizedtextforjapan-ireland-jp-pack-01.txt
ireland--synthesizedtextforjapan-ireland-jp-a17	17	第十七条 一方の締約国の居住者が他方の締約国の居住者である法人の役員の資格 で取得する報酬に対しては、当該他方の締約国において租税を課すること ができる。	text/ireland--synthesizedtextforjapan-ireland-jp-pack-01.txt
ireland--synthesizedtextforjapan-ireland-jp-a18	18	第十八条	text/ireland--synthesizedtextforjapan-ireland-jp-pack-01.txt
ireland--synthesizedtextforjapan-ireland-jp-a19	19	第十九条 １ 次条２の規定が適用される場合を除くほか、過去の勤務につき一方の 締約国の居住者に支払われる退職年金その他これに類する報酬及び一 方 の締約国の居住者に支払われる保険年金に対しては、当該一方の締約国 においてのみ租税を課すること	text/ireland--synthesizedtextforjapan-ireland-jp-pack-02.txt
ireland--synthesizedtextforjapan-ireland-jp-a20	20	第二十条 １(a) 政府の職務の遂行として一方の締約国又はその地方公共団体に提 供される役務につき、個人に対し、当該一方の締約国若しくはその地 方公共団体によつて支払われる報酬（退職年金を除く。）に対しては、 当該一方の締約国においてのみ租	text/ireland--synthesizedtextforjapan-ireland-jp-pack-02.txt
ireland--synthesizedtextforjapan-ireland-jp-a21	21	第二十一条 専ら教育又は訓練を受けるため一方の締約国内に滞在する学生又は事業 修習者であつて、 現に他方の締約国の居住者であり、 又はその滞在の直前に 他方の締約国の居住者であつたものがその生計、教育又は訓練のために受 け取る給付又は所得に	text/ireland--synthesizedtextforjapan-ireland-jp-pack-03.txt
ireland--synthesizedtextforjapan-ireland-jp-a22	22	第二十二条 １ 大学、学校その他の教育機関において教育を行うため一方の締約国を 訪れ、 二年を超えない期間滞在する教授又は教員であつて、 現に他方の締 約国の居住者であり、又は訪れる直前に他方の締約国の居住者であつた ものは、 その教育に係	text/ireland--synthesizedtextforjapan-ireland-jp-pack-03.txt
ireland--synthesizedtextforjapan-ireland-jp-a23	23	第二十三条 一方の締約国において生ずる他方の締約国の居住者の所得で前諸条に明 文の規定がないものに対しては、当該他方の締約国においてのみ租税を課 することができる。	text/ireland--synthesizedtextforjapan-ireland-jp-pack-03.txt
ireland--synthesizedtextforjapan-ireland-jp-a24	24	第二十四条 １ 日本国内の源泉から生ずる所得につき、日本国の法令に基づき、かつ、 この条約に従つて直接に又は源泉徴収によつて納付される日本国の租税 は、アイルランド外の領域において納付される租税をアイルランドの租 税から控除することに関する	text/ireland--synthesizedtextforjapan-ireland-jp-pack-02.txt
ireland--synthesizedtextforjapan-ireland-jp-a25	25	第二十五条 １ アイルランドの居住者である個人は、 日本国の所得税に関し、 日本国の 居住者でない日本国民が受けることがある人的控除、救済及び軽減と同 一の人的控除、救済及び軽減を受ける権利を有する。 ２ 日本国の居住者である個人は、 アイ	text/ireland--synthesizedtextforjapan-ireland-jp-pack-03.txt
ireland--synthesizedtextforjapan-ireland-jp-a26	26	第二十六条 １ 一方の締約国の国民は、 他方の締約国において、 同様の状況にある当該 他方の締約国の国民が課されており又は課されることがある租税又はこ れに関連する要件以外の又はこれらよりも重い租税又はこれに関連する 要件を課されることはな	text/ireland--synthesizedtextforjapan-ireland-jp-pack-03.txt
