law: 減価償却資産の耐用年数等に関する省令 (taiyounensuu_kisoku)
law_type: rule / law_num: 昭和四十年大蔵省令第十五号 / egov_id: 340M50000040015 / as_of: 2025-04-01
article: beppyo-10 / title: 別表第十

| 耐用年数 | 償却率 | 改定償却率 | 保証率 |
| 七九 | 〇・〇二五 | 〇・〇二六 | 〇・〇〇九二九 |
| 八〇 | 〇・〇二五 | 〇・〇二六 | 〇・〇〇九〇七 |
| 八一 | 〇・〇二五 | 〇・〇二六 | 〇・〇〇八八四 |
| 八二 | 〇・〇二四 | 〇・〇二四 | 〇・〇〇九二九 |
| 八三 | 〇・〇二四 | 〇・〇二四 | 〇・〇〇九〇七 |
| 八四 | 〇・〇二四 | 〇・〇二四 | 〇・〇〇八八五 |
| 八五 | 〇・〇二四 | 〇・〇二四 | 〇・〇〇八六四 |
| 八六 | 〇・〇二三 | 〇・〇二三 | 〇・〇〇八八五 |
| 八七 | 〇・〇二三 | 〇・〇二三 | 〇・〇〇八六四 |
| 八八 | 〇・〇二三 | 〇・〇二三 | 〇・〇〇八四四 |
| 八九 | 〇・〇二二 | 〇・〇二二 | 〇・〇〇八六三 |
| 九〇 | 〇・〇二二 | 〇・〇二二 | 〇・〇〇八四四 |
| 九一 | 〇・〇二二 | 〇・〇二二 | 〇・〇〇八二五 |
| 九二 | 〇・〇二二 | 〇・〇二二 | 〇・〇〇八〇七 |
| 九三 | 〇・〇二二 | 〇・〇二二 | 〇・〇〇七九〇 |
| 九四 | 〇・〇二一 | 〇・〇二一 | 〇・〇〇八〇七 |
| 九五 | 〇・〇二一 | 〇・〇二一 | 〇・〇〇七九〇 |
| 九六 | 〇・〇二一 | 〇・〇二一 | 〇・〇〇七七三 |
| 九七 | 〇・〇二一 | 〇・〇二一 | 〇・〇〇七五七 |
| 九八 | 〇・〇二〇 | 〇・〇二〇 | 〇・〇〇七七三 |
| 九九 | 〇・〇二〇 | 〇・〇二〇 | 〇・〇〇七五七 |
| 一〇〇 | 〇・〇二〇 | 〇・〇二〇 | 〇・〇〇七四二 |
