--- split 2/4 of beppyo-2.txt ---
| ５１２，０００ | ５１５，０００ | ２９，５３０ | ２３，２００ | １８，１２０ | １４，９５０ | １１，７９０ | ８，６２０ | ６，７９０ | ５，２１０ | １４９，０００ |
| ５１５，０００ | ５１８，０００ | ３０，０１０ | ２３，６８０ | １８，３６０ | １５，１９０ | １２，０３０ | ８，８６０ | ６，９１０ | ５，３３０ | １５０，６００ |
| ５１８，０００ | ５２１，０００ | ３０，４９０ | ２４，１６０ | １８，６００ | １５，４３０ | １２，２７０ | ９，１００ | ７，０３０ | ５，４５０ | １５２，２００ |
| ５２１，０００ | ５２４，０００ | ３０，９７０ | ２４，６４０ | １８，８４０ | １５，６７０ | １２，５１０ | ９，３４０ | ７，１５０ | ５，５７０ | １５３，７００ |
| ５２４，０００ | ５２７，０００ | ３１，４５０ | ２５，１２０ | １９，０８０ | １５，９１０ | １２，７５０ | ９，５８０ | ７，２７０ | ５，６９０ | １５５，３００ |
|  |  |  |  |  |  |  |  |  |  |  |
| ５２７，０００ | ５３０，０００ | ３１，９３０ | ２５，６００ | １９，３２０ | １６，１５０ | １２，９９０ | ９，８２０ | ７，３９０ | ５，８１０ | １５６，９００ |
| ５３０，０００ | ５３３，０００ | ３２，４１０ | ２６，０８０ | １９，７５０ | １６，３９０ | １３，２３０ | １０，０６０ | ７，５１０ | ５，９３０ | １５８，３００ |
| ５３３，０００ | ５３６，０００ | ３２，８９０ | ２６，５６０ | ２０，２３０ | １６，６３０ | １３，４７０ | １０，３００ | ７，６３０ | ６，０５０ | １５９，８００ |
| ５３６，０００ | ５３９，０００ | ３３，３７０ | ２７，０４０ | ２０，７１０ | １６，８７０ | １３，７１０ | １０，５４０ | ７，７５０ | ６，１７０ | １６１，２００ |
| ５３９，０００ | ５４２，０００ | ３３，８５０ | ２７，５２０ | ２１，１９０ | １７，１１０ | １３，９５０ | １０，７８０ | ７，８７０ | ６，２９０ | １６２，６００ |
|  |  |  |  |  |  |  |  |  |  |  |
| ５４２，０００ | ５４５，０００ | ３４，３３０ | ２８，０００ | ２１，６７０ | １７，３５０ | １４，１９０ | １１，０２０ | ７，９９０ | ６，４１０ | １６４，１００ |
| ５４５，０００ | ５４８，０００ | ３４，８１０ | ２８，４８０ | ２２，１５０ | １７，５９０ | １４，４３０ | １１，２６０ | ８，１１０ | ６，５３０ | １６５，５００ |
| ５４８，０００ | ５５１，０００ | ３５，２９０ | ２８，９６０ | ２２，６３０ | １７，８３０ | １４，６７０ | １１，５００ | ８，３３０ | ６，６５０ | １６７，０００ |
| ５５１，０００ | ５５４，０００ | ３５，８２０ | ２９，４９０ | ２３，１６０ | １８，１００ | １４，９３０ | １１，７７０ | ８，６００ | ６，７８０ | １６８，４００ |
| ５５４，０００ | ５５７，０００ | ３６，３６０ | ３０，０３０ | ２３，７００ | １８，３７０ | １５，２００ | １２，０４０ | ８，８７０ | ６，９１０ | １６９，８００ |
|  |  |  |  |  |  |  |  |  |  |  |
| ５５７，０００ | ５６０，０００ | ３６，９００ | ３０，５７０ | ２４，２４０ | １８，６４０ | １５，４７０ | １２，３１０ | ９，１４０ | ７，０５０ | １７１，３００ |
| ５６０，０００ | ５６３，０００ | ３７，４４０ | ３１，１１０ | ２４，７８０ | １８，９１０ | １５，７４０ | １２，５８０ | ９，４１０ | ７，１８０ | １７２，７００ |
| ５６３，０００ | ５６６，０００ | ３７，９８０ | ３１，６５０ | ２５，３２０ | １９，１８０ | １６，０１０ | １２，８５０ | ９，６８０ | ７，３２０ | １７４，２００ |
| ５６６，０００ | ５６９，０００ | ３８，５２０ | ３２，１９０ | ２５，８６０ | １９，５２０ | １６，２８０ | １３，１２０ | ９，９５０ | ７，４５０ | １７５，６００ |
| ５６９，０００ | ５７２，０００ | ３９，０６０ | ３２，７３０ | ２６，４００ | ２０，０６０ | １６，５５０ | １３，３９０ | １０，２２０ | ７，５９０ | １７７，０００ |
|  |  |  |  |  |  |  |  |  |  |  |
| ５７２，０００ | ５７５，０００ | ３９，６００ | ３３，２７０ | ２６，９４０ | ２０，６００ | １６，８２０ | １３，６６０ | １０，４９０ | ７，７２０ | １７８，５００ |
| ５７５，０００ | ５７８，０００ | ４０，１４０ | ３３，８１０ | ２７，４８０ | ２１，１４０ | １７，０９０ | １３，９３０ | １０，７６０ | ７，８６０ | １７９，９００ |
| ５７８，０００ | ５８１，０００ | ４０，６８０ | ３４，３５０ | ２８，０２０ | ２１，６８０ | １７，３６０ | １４，２００ | １１，０３０ | ７，９９０ | １８１，４００ |
| ５８１，０００ | ５８４，０００ | ４１，２２０ | ３４，８９０ | ２８，５６０ | ２２，２２０ | １７，６３０ | １４，４７０ | １１，３００ | ８，１３０ | １８２，８００ |
| ５８４，０００ | ５８７，０００ | ４１，７６０ | ３５，４３０ | ２９，１００ | ２２，７６０ | １７，９００ | １４，７４０ | １１，５７０ | ８，４００ | １８４，２００ |
|  |  |  |  |  |  |  |  |  |  |  |
| ５８７，０００ | ５９０，０００ | ４２，３００ | ３５，９７０ | ２９，６４０ | ２３，３００ | １８，１７０ | １５，０１０ | １１，８４０ | ８，６７０ | １８５，７００ |
| ５９０，０００ | ５９３，０００ | ４２，８４０ | ３６，５１０ | ３０，１８０ | ２３，８４０ | １８，４４０ | １５，２８０ | １２，１１０ | ８，９４０ | １８７，１００ |
| ５９３，０００ | ５９６，０００ | ４３，３８０ | ３７，０５０ | ３０，７２０ | ２４，３８０ | １８，７１０ | １５，５５０ | １２，３８０ | ９，２１０ | １８８，６００ |
| ５９６，０００ | ５９９，０００ | ４３，９２０ | ３７，５９０ | ３１，２６０ | ２４，９２０ | １８，９８０ | １５，８２０ | １２，６５０ | ９，４８０ | １９０，０００ |
| ５９９，０００ | ６０２，０００ | ４４，４６０ | ３８，１３０ | ３１，８００ | ２５，４６０ | １９，２５０ | １６，０９０ | １２，９２０ | ９，７５０ | １９１，４００ |
|  |  |  |  |  |  |  |  |  |  |  |
| ６０２，０００ | ６０５，０００ | ４５，０００ | ３８，６７０ | ３２，３４０ | ２６，０００ | １９，６７０ | １６，３６０ | １３，１９０ | １０，０２０ | １９２，９００ |
| ６０５，０００ | ６０８，０００ | ４５，５４０ | ３９，２１０ | ３２，８８０ | ２６，５４０ | ２０，２１０ | １６，６３０ | １３，４６０ | １０，２９０ | １９４，３００ |
| ６０８，０００ | ６１１，０００ | ４６，０８０ | ３９，７５０ | ３３，４２０ | ２７，０８０ | ２０，７５０ | １６，９００ | １３，７３０ | １０，５６０ | １９５，８００ |
| ６１１，０００ | ６１４，０００ | ４６，６２０ | ４０，２９０ | ３３，９６０ | ２７，６２０ | ２１，２９０ | １７，１７０ | １４，０００ | １０，８３０ | １９７，２００ |
| ６１４，０００ | ６１７，０００ | ４７，１６０ | ４０，８３０ | ３４，５００ | ２８，１６０ | ２１，８３０ | １７，４４０ | １４，２７０ | １１，１００ | １９８，６００ |
|  |  |  |  |  |  |  |  |  |  |  |
| ６１７，０００ | ６２０，０００ | ４７，７００ | ４１，３７０ | ３５，０４０ | ２８，７００ | ２２，３７０ | １７，７１０ | １４，５４０ | １１，３７０ | ２００，１００ |
| ６２０，０００ | ６２３，０００ | ４８，２４０ | ４１，９１０ | ３５，５８０ | ２９，２４０ | ２２，９１０ | １７，９８０ | １４，８１０ | １１，６４０ | ２０１，５００ |
