--- split 2/5 of beppyo-5.txt ---
| ３，１３６，０００ | ３，１４０，０００ | ２，１１５，２００ | ３，３３６，０００ | ３，３４０，０００ | ２，２５５，２００ | ３，５３６，０００ | ３，５４０，０００ | ２，３９５，２００ |
|  |  |  |  |  |  |  |  |  |
| ３，１４０，０００ | ３，１４４，０００ | ２，１１８，０００ | ３，３４０，０００ | ３，３４４，０００ | ２，２５８，０００ | ３，５４０，０００ | ３，５４４，０００ | ２，３９８，０００ |
| ３，１４４，０００ | ３，１４８，０００ | ２，１２０，８００ | ３，３４４，０００ | ３，３４８，０００ | ２，２６０，８００ | ３，５４４，０００ | ３，５４８，０００ | ２，４００，８００ |
| ３，１４８，０００ | ３，１５２，０００ | ２，１２３，６００ | ３，３４８，０００ | ３，３５２，０００ | ２，２６３，６００ | ３，５４８，０００ | ３，５５２，０００ | ２，４０３，６００ |
| ３，１５２，０００ | ３，１５６，０００ | ２，１２６，４００ | ３，３５２，０００ | ３，３５６，０００ | ２，２６６，４００ | ３，５５２，０００ | ３，５５６，０００ | ２，４０６，４００ |
| ３，１５６，０００ | ３，１６０，０００ | ２，１２９，２００ | ３，３５６，０００ | ３，３６０，０００ | ２，２６９，２００ | ３，５５６，０００ | ３，５６０，０００ | ２，４０９，２００ |
|  |  |  |  |  |  |  |  |  |
| ３，１６０，０００ | ３，１６４，０００ | ２，１３２，０００ | ３，３６０，０００ | ３，３６４，０００ | ２，２７２，０００ | ３，５６０，０００ | ３，５６４，０００ | ２，４１２，０００ |
| ３，１６４，０００ | ３，１６８，０００ | ２，１３４，８００ | ３，３６４，０００ | ３，３６８，０００ | ２，２７４，８００ | ３，５６４，０００ | ３，５６８，０００ | ２，４１４，８００ |
| ３，１６８，０００ | ３，１７２，０００ | ２，１３７，６００ | ３，３６８，０００ | ３，３７２，０００ | ２，２７７，６００ | ３，５６８，０００ | ３，５７２，０００ | ２，４１７，６００ |
