--- split 3/5 of beppyo-5.txt ---
| ４，３００，０００ | ４，３０４，０００ | ３，０００，０００ | ４，５００，０００ | ４，５０４，０００ | ３，１６０，０００ | ４，７００，０００ | ４，７０４，０００ | ３，３２０，０００ |
| ４，３０４，０００ | ４，３０８，０００ | ３，００３，２００ | ４，５０４，０００ | ４，５０８，０００ | ３，１６３，２００ | ４，７０４，０００ | ４，７０８，０００ | ３，３２３，２００ |
| ４，３０８，０００ | ４，３１２，０００ | ３，００６，４００ | ４，５０８，０００ | ４，５１２，０００ | ３，１６６，４００ | ４，７０８，０００ | ４，７１２，０００ | ３，３２６，４００ |
| ４，３１２，０００ | ４，３１６，０００ | ３，００９，６００ | ４，５１２，０００ | ４，５１６，０００ | ３，１６９，６００ | ４，７１２，０００ | ４，７１６，０００ | ３，３２９，６００ |
| ４，３１６，０００ | ４，３２０，０００ | ３，０１２，８００ | ４，５１６，０００ | ４，５２０，０００ | ３，１７２，８００ | ４，７１６，０００ | ４，７２０，０００ | ３，３３２，８００ |
|  |  |  |  |  |  |  |  |  |
| ４，３２０，０００ | ４，３２４，０００ | ３，０１６，０００ | ４，５２０，０００ | ４，５２４，０００ | ３，１７６，０００ | ４，７２０，０００ | ４，７２４，０００ | ３，３３６，０００ |
| ４，３２４，０００ | ４，３２８，０００ | ３，０１９，２００ | ４，５２４，０００ | ４，５２８，０００ | ３，１７９，２００ | ４，７２４，０００ | ４，７２８，０００ | ３，３３９，２００ |
| ４，３２８，０００ | ４，３３２，０００ | ３，０２２，４００ | ４，５２８，０００ | ４，５３２，０００ | ３，１８２，４００ | ４，７２８，０００ | ４，７３２，０００ | ３，３４２，４００ |
| ４，３３２，０００ | ４，３３６，０００ | ３，０２５，６００ | ４，５３２，０００ | ４，５３６，０００ | ３，１８５，６００ | ４，７３２，０００ | ４，７３６，０００ | ３，３４５，６００ |
| ４，３３６，０００ | ４，３４０，０００ | ３，０２８，８００ | ４，５３６，０００ | ４，５４０，０００ | ３，１８８，８００ | ４，７３６，０００ | ４，７４０，０００ | ３，３４８，８００ |
|  |  |  |  |  |  |  |  |  |
| ４，３４０，０００ | ４，３４４，０００ | ３，０３２，０００ | ４，５４０，０００ | ４，５４４，０００ | ３，１９２，０００ | ４，７４０，０００ | ４，７４４，０００ | ３，３５２，０００ |
| ４，３４４，０００ | ４，３４８，０００ | ３，０３５，２００ | ４，５４４，０００ | ４，５４８，０００ | ３，１９５，２００ | ４，７４４，０００ | ４，７４８，０００ | ３，３５５，２００ |
| ４，３４８，０００ | ４，３５２，０００ | ３，０３８，４００ | ４，５４８，０００ | ４，５５２，０００ | ３，１９８，４００ | ４，７４８，０００ | ４，７５２，０００ | ３，３５８，４００ |
| ４，３５２，０００ | ４，３５６，０００ | ３，０４１，６００ | ４，５５２，０００ | ４，５５６，０００ | ３，２０１，６００ | ４，７５２，０００ | ４，７５６，０００ | ３，３６１，６００ |
| ４，３５６，０００ | ４，３６０，０００ | ３，０４４，８００ | ４，５５６，０００ | ４，５６０，０００ | ３，２０４，８００ | ４，７５６，０００ | ４，７６０，０００ | ３，３６４，８００ |
|  |  |  |  |  |  |  |  |  |
| ４，３６０，０００ | ４，３６４，０００ | ３，０４８，０００ | ４，５６０，０００ | ４，５６４，０００ | ３，２０８，０００ | ４，７６０，０００ | ４，７６４，０００ | ３，３６８，０００ |
| ４，３６４，０００ | ４，３６８，０００ | ３，０５１，２００ | ４，５６４，０００ | ４，５６８，０００ | ３，２１１，２００ | ４，７６４，０００ | ４，７６８，０００ | ３，３７１，２００ |
| ４，３６８，０００ | ４，３７２，０００ | ３，０５４，４００ | ４，５６８，０００ | ４，５７２，０００ | ３，２１４，４００ | ４，７６８，０００ | ４，７７２，０００ | ３，３７４，４００ |
| ４，３７２，０００ | ４，３７６，０００ | ３，０５７，６００ | ４，５７２，０００ | ４，５７６，０００ | ３，２１７，６００ | ４，７７２，０００ | ４，７７６，０００ | ３，３７７，６００ |
| ４，３７６，０００ | ４，３８０，０００ | ３，０６０，８００ | ４，５７６，０００ | ４，５８０，０００ | ３，２２０，８００ | ４，７７６，０００ | ４，７８０，０００ | ３，３８０，８００ |
|  |  |  |  |  |  |  |  |  |
| ４，３８０，０００ | ４，３８４，０００ | ３，０６４，０００ | ４，５８０，０００ | ４，５８４，０００ | ３，２２４，０００ | ４，７８０，０００ | ４，７８４，０００ | ３，３８４，０００ |
| ４，３８４，０００ | ４，３８８，０００ | ３，０６７，２００ | ４，５８４，０００ | ４，５８８，０００ | ３，２２７，２００ | ４，７８４，０００ | ４，７８８，０００ | ３，３８７，２００ |
| ４，３８８，０００ | ４，３９２，０００ | ３，０７０，４００ | ４，５８８，０００ | ４，５９２，０００ | ３，２３０，４００ | ４，７８８，０００ | ４，７９２，０００ | ３，３９０，４００ |
| ４，３９２，０００ | ４，３９６，０００ | ３，０７３，６００ | ４，５９２，０００ | ４，５９６，０００ | ３，２３３，６００ | ４，７９２，０００ | ４，７９６，０００ | ３，３９３，６００ |
| ４，３９６，０００ | ４，４００，０００ | ３，０７６，８００ | ４，５９６，０００ | ４，６００，０００ | ３，２３６，８００ | ４，７９６，０００ | ４，８００，０００ | ３，３９６，８００ |
|  |  |  |  |  |  |  |  |  |
| ４，４００，０００ | ４，４０４，０００ | ３，０８０，０００ | ４，６００，０００ | ４，６０４，０００ | ３，２４０，０００ | ４，８００，０００ | ４，８０４，０００ | ３，４００，０００ |
| ４，４０４，０００ | ４，４０８，０００ | ３，０８３，２００ | ４，６０４，０００ | ４，６０８，０００ | ３，２４３，２００ | ４，８０４，０００ | ４，８０８，０００ | ３，４０３，２００ |
| ４，４０８，０００ | ４，４１２，０００ | ３，０８６，４００ | ４，６０８，０００ | ４，６１２，０００ | ３，２４６，４００ | ４，８０８，０００ | ４，８１２，０００ | ３，４０６，４００ |
| ４，４１２，０００ | ４，４１６，０００ | ３，０８９，６００ | ４，６１２，０００ | ４，６１６，０００ | ３，２４９，６００ | ４，８１２，０００ | ４，８１６，０００ | ３，４０９，６００ |
| ４，４１６，０００ | ４，４２０，０００ | ３，０９２，８００ | ４，６１６，０００ | ４，６２０，０００ | ３，２５２，８００ | ４，８１６，０００ | ４，８２０，０００ | ３，４１２，８００ |
|  |  |  |  |  |  |  |  |  |
| ４，４２０，０００ | ４，４２４，０００ | ３，０９６，０００ | ４，６２０，０００ | ４，６２４，０００ | ３，２５６，０００ | ４，８２０，０００ | ４，８２４，０００ | ３，４１６，０００ |
| ４，４２４，０００ | ４，４２８，０００ | ３，０９９，２００ | ４，６２４，０００ | ４，６２８，０００ | ３，２５９，２００ | ４，８２４，０００ | ４，８２８，０００ | ３，４１９，２００ |
| ４，４２８，０００ | ４，４３２，０００ | ３，１０２，４００ | ４，６２８，０００ | ４，６３２，０００ | ３，２６２，４００ | ４，８２８，０００ | ４，８３２，０００ | ３，４２２，４００ |
