law: 所得税法 (shotokuzei)
law_type: act / law_num: 昭和四十年法律第三十三号 / egov_id: 340AC0000000033 / as_of: 2025-12-27
article: beppyo-3 / title: 別表第三

給与所得の源泉徴収税額表（日額表）（第百八十五条関係）

### （一）
| その日の社会保険料等控除後の給与等の金額 | 甲 | 乙 | 丙 |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| その日の社会保険料等控除後の給与等の金額 | 扶養親族等の数 |  |  |  |  |  |  |  |  |  |  |
| その日の社会保険料等控除後の給与等の金額 | ０人 | １人 | ２人 | ３人 | ４人 | ５人 | ６人 | ７人 |  |  |  |
| 以上 | 未満 | 税額 | 税額 | 税額 |  |  |  |  |  |  |  |
| 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 |
| ３，５００円未満 | ０ | ０ | ０ | ０ | ０ | ０ | ０ | ０ | その日の社会保険料等控除後の給与等の金額の３％に相当する金額 | ０ |  |
|  |  |  |  |  |  |  |  |  | その日の社会保険料等控除後の給与等の金額の３％に相当する金額 |  |  |
| ７，５００ | ７，６００ | １７０ | １２０ | ６５ | １５ | ０ | ０ | ０ | ０ | ９１０ | ０ |
| ７，６００ | ７，７００ | １７５ | １２５ | ７０ | １５ | ０ | ０ | ０ | ０ | ９４０ | ０ |
| ７，７００ | ７，８００ | １８０ | １２５ | ７５ | ２０ | ０ | ０ | ０ | ０ | ９７０ | ０ |
| ７，８００ | ７，９００ | １８５ | １３０ | ７５ | ２５ | ０ | ０ | ０ | ０ | １，０１０ | ０ |
| ７，９００ | ８，０００ | １８５ | １３５ | ８０ | ３０ | ０ | ０ | ０ | ０ | １，０４０ | ０ |

### （二）
| その日の社会保険料等控除後の給与等の金額 | 甲 | 乙 | 丙 |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| その日の社会保険料等控除後の給与等の金額 | 扶養親族等の数 |  |  |  |  |  |  |  |  |  |  |
| その日の社会保険料等控除後の給与等の金額 | ０人 | １人 | ２人 | ３人 | ４人 | ５人 | ６人 | ７人 |  |  |  |
| 以上 | 未満 | 税額 | 税額 | 税額 |  |  |  |  |  |  |  |
| 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 |
| ８，０００ | ８，１００ | １９０ | １３５ | ８５ | ３０ | ０ | ０ | ０ | ０ | １，０７０ | ０ |
| ８，１００ | ８，２００ | １９５ | １４０ | ８５ | ３５ | ０ | ０ | ０ | ０ | １，１１０ | ０ |
| ８，２００ | ８，３００ | １９５ | １４５ | ９０ | ４０ | ０ | ０ | ０ | ０ | １，１４０ | ０ |
| ８，３００ | ８，４００ | ２００ | １４５ | ９５ | ４０ | ０ | ０ | ０ | ０ | １，１７０ | ０ |
| ８，４００ | ８，５００ | ２０５ | １５０ | １００ | ４５ | ０ | ０ | ０ | ０ | １，２１０ | ０ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| ８，５００ | ８，６００ | ２０５ | １５５ | １００ | ５０ | ０ | ０ | ０ | ０ | １，２４０ | ０ |
| ８，６００ | ８，７００ | ２１０ | １６０ | １０５ | ５０ | ０ | ０ | ０ | ０ | １，２７０ | ０ |
| ８，７００ | ８，８００ | ２１５ | １６０ | １１０ | ５５ | ５ | ０ | ０ | ０ | １，３００ | ０ |
| ８，８００ | ８，９００ | ２２０ | １６５ | １１０ | ６０ | ５ | ０ | ０ | ０ | １，３４０ | ０ |
| ８，９００ | ９，０００ | ２２０ | １７０ | １１５ | ６５ | １０ | ０ | ０ | ０ | １，３７０ | ０ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| ９，０００ | ９，１００ | ２２５ | １７０ | １２０ | ６５ | １５ | ０ | ０ | ０ | １，４００ | ０ |
| ９，１００ | ９，２００ | ２３０ | １７５ | １２０ | ７０ | １５ | ０ | ０ | ０ | １，４４０ | ０ |
| ９，２００ | ９，３００ | ２３０ | １８０ | １２５ | ７５ | ２０ | ０ | ０ | ０ | １，４７０ | ０ |
| ９，３００ | ９，４００ | ２３５ | １８０ | １３０ | ７５ | ２５ | ０ | ０ | ０ | １，５００ | ０ |
| ９，４００ | ９，５００ | ２４０ | １８５ | １３５ | ８０ | ２５ | ０ | ０ | ０ | １，５４０ | ０ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| ９，５００ | ９，６００ | ２４０ | １９０ | １３５ | ８５ | ３０ | ０ | ０ | ０ | １，５７０ | ０ |
| ９，６００ | ９，７００ | ２４５ | １９５ | １４０ | ８５ | ３５ | ０ | ０ | ０ | １，６１０ | ０ |
| ９，７００ | ９，８００ | ２５０ | １９５ | １４５ | ９０ | ４０ | ０ | ０ | ０ | １，６５０ | ０ |
| ９，８００ | ９，９００ | ２５５ | ２００ | １４５ | ９５ | ４０ | ０ | ０ | ０ | １，６９０ | １ |
| ９，９００ | １０，０００ | ２５５ | ２０５ | １５０ | １００ | ４５ | ０ | ０ | ０ | １，７２０ | ５ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| １０，０００ | １０，１００ | ２６０ | ２０５ | １５５ | １００ | ５０ | ０ | ０ | ０ | １，７６０ | ８ |
| １０，１００ | １０，２００ | ２６５ | ２１０ | １６０ | １０５ | ５５ | ０ | ０ | ０ | １，７９０ | １２ |
| １０，２００ | １０，３００ | ２７０ | ２１５ | １６０ | １１０ | ５５ | ５ | ０ | ０ | １，８１０ | １５ |
| １０，３００ | １０，４００ | ２７５ | ２２０ | １６５ | １１５ | ６０ | １０ | ０ | ０ | １，８４０ | １９ |
| １０，４００ | １０，５００ | ２８０ | ２２５ | １７０ | １１５ | ６５ | １０ | ０ | ０ | １，８７０ | ２２ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| １０，５００ | １０，６００ | ２９０ | ２２５ | １７５ | １２０ | ７０ | １５ | ０ | ０ | １，８９０ | ２６ |
| １０，６００ | １０，７００ | ２９５ | ２３０ | １８０ | １２５ | ７５ | ２０ | ０ | ０ | １，９２０ | ２９ |
| １０，７００ | １０，８００ | ３０５ | ２３５ | １８０ | １３０ | ７５ | ２５ | ０ | ０ | １，９６０ | ３３ |
| １０，８００ | １０，９００ | ３１５ | ２４０ | １８５ | １３５ | ８０ | ３０ | ０ | ０ | １，９９０ | ３６ |
| １０，９００ | １１，０００ | ３２０ | ２４５ | １９０ | １３５ | ８５ | ３０ | ０ | ０ | ２，０２０ | ４０ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| １１，０００ | １１，１００ | ３３０ | ２４５ | １９５ | １４０ | ９０ | ３５ | ０ | ０ | ２，０６０ | ４３ |
| １１，１００ | １１，２００ | ３３５ | ２５０ | ２００ | １４５ | ９５ | ４０ | ０ | ０ | ２，０９０ | ４７ |
| １１，２００ | １１，３００ | ３４５ | ２５５ | ２００ | １５０ | ９５ | ４５ | ０ | ０ | ２，１２０ | ５０ |
| １１，３００ | １１，４００ | ３５５ | ２６０ | ２０５ | １５５ | １００ | ５０ | ０ | ０ | ２，１６０ | ５４ |
| １１，４００ | １１，５００ | ３６０ | ２６５ | ２１０ | １５５ | １０５ | ５０ | ０ | ０ | ２，１９０ | ５７ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| １１，５００ | １１，６００ | ３７０ | ２６５ | ２１５ | １６０ | １１０ | ５５ | ５ | ０ | ２，２２０ | ６１ |
| １１，６００ | １１，７００ | ３７５ | ２７０ | ２２０ | １６５ | １１５ | ６０ | ５ | ０ | ２，２６０ | ６４ |
| １１，７００ | １１，８００ | ３８５ | ２８０ | ２２０ | １７０ | １１５ | ６５ | １０ | ０ | ２，２９０ | ６８ |
| １１，８００ | １１，９００ | ３９５ | ２８５ | ２２５ | １７５ | １２０ | ７０ | １５ | ０ | ２，３２０ | ７１ |
| １１，９００ | １２，０００ | ４００ | ２９５ | ２３０ | １７５ | １２５ | ７０ | ２０ | ０ | ２，３６０ | ７５ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| １２，０００ | １２，１００ | ４１０ | ３０５ | ２３５ | １８０ | １３０ | ７５ | ２５ | ０ | ２，３９０ | ７８ |
| １２，１００ | １２，２００ | ４１５ | ３１０ | ２４０ | １８５ | １３５ | ８０ | ２５ | ０ | ２，４２０ | ８２ |
| １２，２００ | １２，３００ | ４２５ | ３２０ | ２４０ | １９０ | １３５ | ８５ | ３０ | ０ | ２，４６０ | ８５ |
| １２，３００ | １２，４００ | ４３５ | ３２５ | ２４５ | １９５ | １４０ | ９０ | ３５ | ０ | ２，４９０ | ８９ |
